x,y,cluster_id
367.486,64.2173,7
367.873,92.3448,7
368.542,69.9146,7
371.215,82.5121,7
373.52,73.9579,7
374.378,81.1645,7
375.122,78.0337,7
368.828,11.5869,8
372.224,6.85902,8
375.608,11.6287,8
376.19,0.228559,8
377.61,9.55041,8
37.1279,297.222,9
37.2505,282.178,9
39.273,289.423,9
39.6191,287.426,9
41.2066,285.85,9
41.2239,297.019,9
41.509,292.841,9
42.6515,290.973,9
43.4489,282.338,9
45.071,282.169,9
45.1966,282.994,9
45.8019,298.252,9
45.8858,286.387,9
46.412,285.632,9
48.8865,285.744,9
49.2011,290.048,9
129.36,266.194,10
129.407,267.947,10
137.959,272.182,10
144.551,269.284,10
149.522,269.384,10
150.126,271.945,10
150.678,269.734,10
160.433,266.807,10
165.163,279.019,10
175.176,279.208,10
175.741,266.173,10
175.89,262.374,10
176.733,275.332,10
178.759,282.374,10
179.697,282.458,10
180.618,274.775,10
182.83,266.18,10
183.91,278.641,10
184.617,266.936,10
184.636,271.232,10
187.523,273.698,10
187.752,274.899,10
190.449,274.897,10
192.67,274.777,10
167.272,215.57,11
167.505,210.928,11
171.412,214.033,11
174.208,219.715,11
175.664,218.168,11
176.108,215.891,11
176.46,204.486,11
177.739,213.243,11
178.296,207.926,11
179.656,211.606,11
179.929,209.943,11
127.461,175.239,12
130.664,173.251,12
133.906,178.582,12
134.278,178.97,12
135.618,177.045,12
135.897,173.159,12
135.903,175.662,12
140.042,178.956,12
140.063,180.983,12
143.197,169.912,12
143.263,172.67,12
145.049,173.428,12
147.222,173.673,12
151.306,173.585,12
152.432,174.564,12
155.378,173.056,12
155.578,174.053,12
164.043,170.406,12
74.0133,170.887,12
394.287,221.617,13
396.083,233.008,13
396.787,199.432,13
400.437,232.069,13
401.308,220.994,13
402.144,209.554,13
405.229,230.146,13
405.859,232.099,13
405.874,219.062,13
409.724,210.768,13
410.276,210.034,13
411.721,212.162,13
412.152,222.758,13
419.149,214.757,13
47.5006,277.004,14
47.9991,272.218,14
48.7599,275.952,14
49.589,274.466,14
50.4209,279.328,14
50.4431,269.599,14
51.2387,283.165,14
51.4248,284.9,14
51.8896,275.529,14
52.9509,276.19,14
53.1981,277.184,14
54.7083,282.818,14
55.5294,281.047,14
403.947,46.6451,15
407.512,50.0345,15
409.643,43.8173,15
410.171,49.0921,15
410.582,47.2605,15
411.735,46.4728,15
412.21,48.1025,15
413.443,53.9423,15
203.293,55.0547,16
215.039,47.9504,16
215.806,49.5552,16
216.72,57.5275,16
219.224,48.8197,16
220.385,39.0178,16
221.621,44.8795,16
221.843,59.5674,16
222.499,55.1584,16
230.867,45.7224,16
230.874,40.3292,16
234.842,43.0641,16
234.969,42.2141,16
236.158,49.5483,16
237.673,42.616,16
239.384,60.5946,16
239.618,42.759,16
240.348,57.0196,16
240.702,56.3685,16
242.357,62.4058,16
251.106,53.8366,16
11.9373,88.6851,17
13.2741,92.9471,17
15.5295,90.6121,17
18.2611,113.363,17
21.6889,92.7344,17
21.9264,107.888,17
22.9575,93.9852,17
24.5874,151.213,17
25.0743,146.545,17
27.7068,93.3689,17
